いぬ,"2026-06-26 02:47:36",ねこ,とてもよい,とてもよい,よい,わんわんわん
さる,"2026-06-26 02:47:47",ねこ,まずまず,まずまず,よい,うっきー
とら,"2026-06-26 02:48:02",ねこ,まずまず,とてもよい,とてもよい,がおがお
きじ,"2026-06-26 02:48:15",ねこ,まずまず,まずまず,まずまず,けーん
ぞう,"2026-06-26 02:48:25",ねこ,とてもよい,とてもよい,最高,ぱお
きりん,"2026-06-26 02:48:38",ねこ,最高,最高,最高,ぬーん
ねずみ,"2026-06-26 02:49:20",ねこ,まずまず,まずまず,まずまず,みっきーでーす
秋田犬,"2026-06-26 02:49:58",ねこ,最高,最高,最高,わおーーーーーん
あひる,"2026-06-26 02:58:42",ねこ,よい,とてもよい,まずまず,がーがーがー
秋田犬,"2026-06-26 03:10:11",ねこ,とてもよい,最高,最高,書き換えたよ
秋田犬,"2026-06-26 03:10:58",とら,とてもよい,とてもよい,とてもよい,まいごのまいごとコトラちゃん
